B,P,C,X,N,Time
5,1,1,0,3,10.361920
5,1,5,0,3,10.345886
5,5,1,0,3,2.204205
5,5,5,0,3,2.212935
10,1,1,0,3,10.334114
10,1,5,0,3,10.364184
10,1,10,0,3,10.364548
10,5,1,0,3,2.206121
10,5,5,0,3,2.253250
10,5,10,0,3,2.252054
10,10,1,0,3,1.211666
10,10,5,0,3,1.236437
10,10,10,0,3,1.285065
5,1,1,200,3,10.586622
5,1,5,200,3,10.528468
5,5,1,200,3,10.369133
5,5,5,200,3,2.373955
10,1,1,200,3,10.531372
10,1,5,200,3,10.542006
10,1,10,200,3,10.534840
10,5,1,200,3,10.350588
10,5,5,200,3,2.443091
10,5,10,200,3,2.424980
10,10,1,200,3,10.365915
10,10,5,200,3,2.376553
10,10,10,200,3,1.432507
5,1,1,400,3,20.359569
5,1,5,400,3,10.757354
5,5,1,400,3,20.350280
5,5,5,400,3,4.385139
10,1,1,400,3,20.347005
10,1,5,400,3,10.826544
10,1,10,400,3,10.791988
10,5,1,400,3,20.356503
10,5,5,400,3,4.393050
10,5,10,400,3,2.637816
10,10,1,400,3,20.404646
10,10,5,400,3,4.388492
10,10,10,400,3,2.402359
