B,P,C,X,N,Time
5,1,1,0,3,0.038987
5,1,5,0,3,0.028656
5,5,1,0,3,0.026179
5,5,5,0,3,0.018540
10,1,1,0,3,0.033819
10,1,5,0,3,0.044772
10,1,10,0,3,0.060985
10,5,1,0,3,0.053794
10,5,5,0,3,0.029311
10,5,10,0,3,0.036255
10,10,1,0,3,0.023716
10,10,5,0,3,0.029685
10,10,10,0,3,0.111824
5,1,1,200,3,0.041884
5,1,5,200,3,0.027132
5,5,1,200,3,0.046848
5,5,5,200,3,0.032043
10,1,1,200,3,0.008217
10,1,5,200,3,0.014936
10,1,10,200,3,0.051820
10,5,1,200,3,0.034306
10,5,5,200,3,0.028775
10,5,10,200,3,0.040145
10,10,1,200,3,0.040514
10,10,5,200,3,0.042053
10,10,10,200,3,0.049249
5,1,1,400,3,0.037197
5,1,5,400,3,0.039087
5,5,1,400,3,0.031521
5,5,5,400,3,0.037261
10,1,1,400,3,0.028263
10,1,5,400,3,0.103484
10,1,10,400,3,0.033339
10,5,1,400,3,0.064924
10,5,5,400,3,0.032499
10,5,10,400,3,0.046305
10,10,1,400,3,0.067467
10,10,5,400,3,0.055174
10,10,10,400,3,0.058580
